"b0","b1","logL"
-1,-1,-15.0031087148408
-0.99,-1,-14.9697317565737
-0.98,-1,-14.9365630014186
-0.97,-1,-14.9036036465246
-0.96,-1,-14.870854889772
-0.95,-1,-14.8383179296859
-0.94,-1,-14.8059939653475
-0.93,-1,-14.7738841963057
-0.92,-1,-14.7419898224875
-0.91,-1,-14.7103120441081
-0.9,-1,-14.6788520615802
-0.89,-1,-14.6476110754227
-0.88,-1,-14.6165902861691
-0.87,-1,-14.5857908942747
-0.86,-1,-14.5552141000238
-0.85,-1,-14.5248611034362
-0.84,-1,-14.4947331041732
-0.83,-1,-14.464831301443
-0.82,-1,-14.4351568939057
-0.81,-1,-14.405711079578
-0.8,-1,-14.3764950557369
-0.79,-1,-14.347510018824
-0.78,-1,-14.3187571643482
-0.77,-1,-14.2902376867889
-0.76,-1,-14.2619527794986
-0.75,-1,-14.2339036346049
-0.74,-1,-14.2060914429128
-0.73,-1,-14.1785173938058
-0.72,-1,-14.151182675148
-0.71,-1,-14.1240884731844
-0.7,-1,-14.0972359724426
-0.69,-1,-14.0706263556329
-0.68,-1,-14.0442608035491
-0.67,-1,-14.0181404949692
-0.66,-1,-13.9922666065551
-0.65,-1,-13.9666403127533
-0.64,-1,-13.9412627856945
-0.63,-1,-13.9161351950942
-0.62,-1,-13.8912587081525
-0.61,-1,-13.866634489454
-0.6,-1,-13.842263700868
-0.59,-1,-13.8181475014488
-0.58,-1,-13.7942870473355
-0.57,-1,-13.7706834916527
-0.56,-1,-13.7473379844105
-0.55,-1,-13.7242516724056
-0.54,-1,-13.7014256991216
-0.53,-1,-13.6788612046301
-0.52,-1,-13.6565593254921
-0.51,-1,-13.6345211946592
-0.5,-1,-13.6127479413754
-0.49,-1,-13.5912406910793
-0.48,-1,-13.5700005653063
-0.47,-1,-13.5490286815914
-0.46,-1,-13.5283261533723
-0.45,-1,-13.5078940898932
-0.44,-1,-13.4877335961082
-0.43,-1,-13.4678457725866
-0.42,-1,-13.4482317154169
-0.41,-1,-13.428892516113
-0.4,-1,-13.4098292615199
-0.39,-1,-13.3910430337203
-0.38,-1,-13.3725349099415
-0.37,-1,-13.3543059624639
-0.36,-1,-13.3363572585284
-0.35,-1,-13.3186898602465
-0.34,-1,-13.3013048245092
-0.33,-1,-13.2842032028984
-0.32,-1,-13.2673860415971
-0.31,-1,-13.2508543813022
-0.3,-1,-13.2346092571372
-0.29,-1,-13.2186516985654
-0.28,-1,-13.2029827293045
-0.27,-1,-13.1876033672421
-0.26,-1,-13.1725146243518
-0.25,-1,-13.15771750661
-0.24,-1,-13.1432130139143
-0.23,-1,-13.1290021400022
-0.22,-1,-13.1150858723711
-0.21,-1,-13.101465192199
-0.2,-1,-13.088141074267
-0.19,-1,-13.0751144868815
-0.18,-1,-13.0623863917987
-0.17,-1,-13.0499577441495
-0.16,-1,-13.0378294923658
-0.15,-1,-13.0260025781074
-0.14,-1,-13.014477936191
