"b0","b1","SSR"
-1,-1,4.59898830113738
-0.99,-1,4.59259099137824
-0.98,-1,4.58622312250896
-0.97,-1,4.57988568632846
-0.96,-1,4.57357968025271
-0.95,-1,4.56730610713687
-0.94,-1,4.56106597509344
-0.93,-1,4.55486029730663
-0.92,-1,4.54869009184277
-0.91,-1,4.54255638145709
-0.9,-1,4.53646019339663
-0.89,-1,4.5304025591995
-0.88,-1,4.52438451449058
-0.87,-1,4.51840709877347
-0.86,-1,4.51247135521913
-0.85,-1,4.50657833045082
-0.84,-1,4.50072907432587
-0.83,-1,4.49492463971398
-0.82,-1,4.48916608227226
-0.81,-1,4.48345446021718
-0.8,-1,4.47779083409331
-0.79,-1,4.47217626653911
-0.78,-1,4.46661182204969
-0.77,-1,4.46109856673676
-0.76,-1,4.45563756808583
-0.75,-1,4.45022989471064
-0.74,-1,4.44487661610507
-0.73,-1,4.43957880239252
-0.72,-1,4.43433752407292
-0.71,-1,4.4291538517674
-0.7,-1,4.42402885596081
-0.69,-1,4.41896360674211
-0.68,-1,4.41395917354286
-0.67,-1,4.4090166248737
-0.66,-1,4.40413702805925
-0.65,-1,4.39932144897122
-0.64,-1,4.39457095176008
-0.63,-1,4.38988659858529
-0.62,-1,4.38526944934429
-0.61,-1,4.38072056140028
-0.6,-1,4.37624098930897
-0.59,-1,4.37183178454447
-0.58,-1,4.36749399522437
-0.57,-1,4.36322866583412
-0.56,-1,4.35903683695101
-0.55,-1,4.35491954496762
-0.54,-1,4.35087782181513
-0.53,-1,4.34691269468649
-0.52,-1,4.34302518575951
-0.51,-1,4.33921631192027
-0.5,-1,4.33548708448667
-0.49,-1,4.3318385089325
-0.48,-1,4.32827158461204
-0.47,-1,4.32478730448537
-0.46,-1,4.32138665484456
-0.45,-1,4.31807061504079
-0.44,-1,4.31484015721261
-0.43,-1,4.31169624601555
-0.42,-1,4.30863983835299
-0.41,-1,4.30567188310869
-0.4,-1,4.30279332088097
-0.39,-1,4.30000508371869
-0.38,-1,4.29730809485923
-0.37,-1,4.2947032684685
-0.36,-1,4.2921915093833
-0.35,-1,4.28977371285594
-0.34,-1,4.28745076430141
-0.33,-1,4.2852235390472
-0.32,-1,4.28309290208585
-0.31,-1,4.28105970783046
-0.3,-1,4.27912479987316
-0.29,-1,4.2772890107468
-0.28,-1,4.2755531616899
-0.27,-1,4.27391806241497
-0.26,-1,4.27238451088043
-0.25,-1,4.27095329306613
-0.24,-1,4.26962518275266
-0.23,-1,4.26840094130451
-0.22,-1,4.26728131745729
-0.21,-1,4.26626704710899
-0.2,-1,4.26535885311549
-0.19,-1,4.26455744509041
-0.18,-1,4.26386351920933
-0.17,-1,4.2632777580186
-0.16,-1,4.26280083024875
-0.15,-1,4.26243339063257
-0.14,-1,4.26217607972808
-0.13,-1,4.26202952374637
-0.12,-1,4.26199433438439
-0.11,-1,4.26207110866288
-0.1,-1,4.26226042876934
-0.09,-1,4.26256286190638
-0.08,-1,4.2629789601452
-0.07,-1,4.26350926028455
-0.0599999999999999,-1,4.26415428371512
-0.0499999999999999,-1,4.26491453628931
-0.04,-1,4.26579050819674
-0.03,-1,4.26678267384521
-0.02,-1,4.2678914917474
-0.01,-1,4.26911740441332
0,-1,4.2704608382484
0.01,-1,4.27192220345753
0.02,-1,4.27350189395481
0.03,-1,4.2752002872793
0.04,-1,4.27701774451653
0.05,-1,4.27895461022614
0.0600000000000001,-1,4.28101121237526
0.0700000000000001,-1,4.28318786227807
0.0800000000000001,-1,4.28548485454127
0.0900000000000001,-1,4.28790246701552
0.1,-1,4.29044096075302
0.11,-1,4.29310057997107
0.12,-1,4.29588155202162
0.13,-1,4.29878408736695
0.14,-1,4.30180837956133
0.15,-1,4.30495460523877
0.16,-1,4.3082229241067
0.17,-1,4.31161347894578
0.18,-1,4.31512639561562
0.19,-1,4.31876178306653
