"b0","b1","SSR"
-10,-2,6192.16655366608
-9.9,-2,6122.07065131219
-9.8,-2,6052.3747489583
-9.7,-2,5983.0788466044
-9.6,-2,5914.18294425051
-9.5,-2,5845.68704189661
-9.4,-2,5777.59113954272
-9.3,-2,5709.89523718883
-9.2,-2,5642.59933483493
-9.1,-2,5575.70343248104
-9,-2,5509.20753012714
-8.9,-2,5443.11162777325
-8.8,-2,5377.41572541935
-8.7,-2,5312.11982306546
-8.6,-2,5247.22392071157
-8.5,-2,5182.72801835767
-8.4,-2,5118.63211600378
-8.3,-2,5054.93621364988
-8.2,-2,4991.64031129599
-8.1,-2,4928.74440894209
-8,-2,4866.2485065882
-7.9,-2,4804.15260423431
-7.8,-2,4742.45670188041
-7.7,-2,4681.16079952652
-7.6,-2,4620.26489717262
-7.5,-2,4559.76899481873
-7.4,-2,4499.67309246483
-7.3,-2,4439.97719011094
-7.2,-2,4380.68128775705
-7.1,-2,4321.78538540315
-7,-2,4263.28948304926
-6.9,-2,4205.19358069536
-6.8,-2,4147.49767834147
-6.7,-2,4090.20177598757
-6.6,-2,4033.30587363368
-6.5,-2,3976.80997127979
-6.4,-2,3920.71406892589
-6.3,-2,3865.018166572
-6.2,-2,3809.7222642181
-6.1,-2,3754.82636186421
-6,-2,3700.33045951031
-5.9,-2,3646.23455715642
-5.8,-2,3592.53865480253
-5.7,-2,3539.24275244863
-5.6,-2,3486.34685009474
-5.5,-2,3433.85094774084
-5.4,-2,3381.75504538695
-5.3,-2,3330.05914303306
-5.2,-2,3278.76324067916
-5.1,-2,3227.86733832527
-5,-2,3177.37143597137
-4.9,-2,3127.27553361748
-4.8,-2,3077.57963126358
-4.7,-2,3028.28372890969
-4.6,-2,2979.3878265558
-4.5,-2,2930.8919242019
-4.4,-2,2882.79602184801
-4.3,-2,2835.10011949411
-4.2,-2,2787.80421714022
-4.1,-2,2740.90831478632
-4,-2,2694.41241243243
-3.9,-2,2648.31651007854
-3.8,-2,2602.62060772464
-3.7,-2,2557.32470537075
-3.6,-2,2512.42880301685
-3.5,-2,2467.93290066296
-3.4,-2,2423.83699830906
-3.3,-2,2380.14109595517
-3.2,-2,2336.84519360128
-3.1,-2,2293.94929124738
-3,-2,2251.45338889349
-2.9,-2,2209.35748653959
-2.8,-2,2167.6615841857
-2.7,-2,2126.3656818318
-2.6,-2,2085.46977947791
-2.5,-2,2044.97387712402
-2.4,-2,2004.87797477012
-2.3,-2,1965.18207241623
-2.2,-2,1925.88617006233
-2.1,-2,1886.99026770844
-2,-2,1848.49436535455
-1.9,-2,1810.39846300065
-1.8,-2,1772.70256064676
-1.7,-2,1735.40665829286
-1.6,-2,1698.51075593897
-1.5,-2,1662.01485358507
-1.4,-2,1625.91895123118
-1.3,-2,1590.22304887729
-1.2,-2,1554.92714652339
-1.1,-2,1520.0312441695
-1,-2,1485.5353418156
-0.9,-2,1451.43943946171
-0.799999999999999,-2,1417.74353710781
-0.699999999999999,-2,1384.44763475392
-0.6,-2,1351.55173240003
-0.5,-2,1319.05583004613
-0.399999999999999,-2,1286.95992769224
-0.299999999999999,-2,1255.26402533834
-0.199999999999999,-2,1223.96812298445
-0.0999999999999996,-2,1193.07222063055
0,-2,1162.57631827666
0.100000000000001,-2,1132.48041592277
0.200000000000001,-2,1102.78451356887
0.300000000000001,-2,1073.48861121498
0.4,-2,1044.59270886108
0.5,-2,1016.09680650719
0.600000000000001,-2,988.000904153295
0.700000000000001,-2,960.3050017994
0.800000000000001,-2,933.009099445506
0.9,-2,906.113197091612
1,-2,879.617294737718
1.1,-2,853.521392383823
1.2,-2,827.825490029929
1.3,-2,802.529587676035
1.4,-2,777.633685322141
1.5,-2,753.137782968247
1.6,-2,729.041880614352
1.7,-2,705.345978260458
1.8,-2,682.050075906564
1.9,-2,659.15417355267
2,-2,636.658271198776
2.1,-2,614.562368844881
2.2,-2,592.866466490987
2.3,-2,571.570564137093
2.4,-2,550.674661783199
2.5,-2,530.178759429304
2.6,-2,510.08285707541
2.7,-2,490.386954721516
2.8,-2,471.091052367621
2.9,-2,452.195150013727
3,-2,433.699247659833
3.1,-2,415.603345305939
3.2,-2,397.907442952044
3.3,-2,380.61154059815
3.4,-2,363.715638244256
3.5,-2,347.219735890362
3.6,-2,331.123833536467
3.7,-2,315.427931182573
3.8,-2,300.132028828679
3.9,-2,285.236126474785
4,-2,270.740224120891
4.1,-2,256.644321766996
4.2,-2,242.948419413102
4.3,-2,229.652517059208
4.4,-2,216.756614705314
4.5,-2,204.260712351419
4.6,-2,192.164809997525
4.7,-2,180.468907643631
4.8,-2,169.173005289737
4.9,-2,158.277102935842
5,-2,147.781200581948
5.1,-2,137.685298228054
