"ID","Gender","Race","Age_at_Release","Residence_PUMA","Gang_Affiliated","Supervision_Risk_Score_First","Supervision_Level_First","Education_Level","Dependents","Prison_Offense","Prison_Years","Prior_Arrest_Episodes_Felony","Prior_Arrest_Episodes_Misd","Prior_Arrest_Episodes_Violent","Prior_Arrest_Episodes_Property","Prior_Arrest_Episodes_Drug","Prior_Arrest_Episodes_PPViolationCharges","Prior_Arrest_Episodes_DVCharges","Prior_Arrest_Episodes_GunCharges","Prior_Conviction_Episodes_Felony","Prior_Conviction_Episodes_Misd","Prior_Conviction_Episodes_Viol","Prior_Conviction_Episodes_Prop","Prior_Conviction_Episodes_Drug","Prior_Conviction_Episodes_PPViolationCharges","Prior_Conviction_Episodes_DomesticViolenceCharges","Prior_Conviction_Episodes_GunCharges","Prior_Revocations_Parole","Prior_Revocations_Probation","Condition_MH_SA","Condition_Cog_Ed","Condition_Other","Violations_ElectronicMonitoring","Violations_Instruction","Violations_FailToReport","Violations_MoveWithoutPermission","Delinquency_Reports","Program_Attendances","Program_UnexcusedAbsences","Residence_Changes","Avg_Days_per_DrugTest","DrugTests_THC_Positive","DrugTests_Cocaine_Positive","DrugTests_Meth_Positive","DrugTests_Other_Positive","Percent_Days_Employed","Jobs_Per_Year","Employment_Exempt","Recidivism_Within_3years","Recidivism_Arrest_Year1","Recidivism_Arrest_Year2","Recidivism_Arrest_Year3","Training_Sample"
21953,"M","BLACK","38-42",1,0,NA,NA,"Less than HS diploma",0,"Property","Less than 1 year",10,6,3,5,5,5,0,1,3,4,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,1,0,1,0,1
8255,"M","BLACK","28-32",4,0,5,NA,"High School Diploma",1,"Violent/Non-Sex","Less than 1 year",8,1,1,4,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0
9110,"M","WHITE","38-42",3,1,3,"Standard","Less than HS diploma",2,"Violent/Non-Sex","Less than 1 year",4,6,2,1,0,2,1,0,1,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,6,3,0,11.18181818,0.090909094,0.030303031,0.121212125,0.090909094,0.463414634,1.979674797,0,1,0,1,0,1
20795,"M","BLACK","28-32",21,0,7,"High","High School Diploma",1,"Drug","More than 3 years",5,5,0,0,5,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,210.6666667,0,0,0,0,0.632911392,0.433445411,0,0,0,0,0,1
5569,"M","WHITE","48 or older",5,0,5,"Specialized","At least some college",1,"Violent/Sex","More than 3 years",10,5,0,5,5,4,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14.36363636,0,0,0,0,0.683544304,1,0,0,0,0,0,1
14124,"F","WHITE","38-42",25,NA,10,"Specialized","At least some college",0,"Property","Greater than 2 to 3 years",10,5,0,5,2,2,0,0,2,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,1,NA,NA,NA,NA,NA,0.75483871,1,0,0,0,0,0,1
24979,"M","BLACK","23-27",3,0,6,"Specialized","High School Diploma",0,"Violent/Sex","Greater than 2 to 3 years",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,128.4,0,0,0,0,0,0,0,0,0,0,0,1
4827,"M","BLACK","43-47",23,0,8,"High","High School Diploma",1,"Property","1-2 years",10,6,3,5,5,5,0,0,3,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,115.5,0,0.5,0,0,0,0,0,1,0,1,0,1
26586,"M","BLACK","33-37",11,0,1,"Standard","At least some college",3,NA,"More than 3 years",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,135.0909091,0,0,0,0,0.433378197,0.491588156,0,1,0,1,0,0
17777,"M","BLACK","18-22",14,1,10,"Specialized","High School Diploma",0,"Violent/Non-Sex","Greater than 2 to 3 years",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,8,0,0,45.14285714,0.142857149,0,0,0,0.537974684,3,0,0,0,0,0,1
22269,"M","BLACK","23-27",17,0,5,"Standard","At least some college",1,"Drug","Less than 1 year",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.61036036,0.822635135,0,1,0,0,1,0
