"ID","Gender","Race","Age_at_Release","Residence_PUMA","Gang_Affiliated","Supervision_Risk_Score_First","Supervision_Level_First","Education_Level","Dependents","Prison_Offense","Prison_Years","Prior_Arrest_Episodes_Felony","Prior_Arrest_Episodes_Misd","Prior_Arrest_Episodes_Violent","Prior_Arrest_Episodes_Property","Prior_Arrest_Episodes_Drug","Prior_Arrest_Episodes_PPViolationCharges","Prior_Arrest_Episodes_DVCharges","Prior_Arrest_Episodes_GunCharges","Prior_Conviction_Episodes_Felony","Prior_Conviction_Episodes_Misd","Prior_Conviction_Episodes_Viol","Prior_Conviction_Episodes_Prop","Prior_Conviction_Episodes_Drug","Prior_Conviction_Episodes_PPViolationCharges","Prior_Conviction_Episodes_DomesticViolenceCharges","Prior_Conviction_Episodes_GunCharges","Prior_Revocations_Parole","Prior_Revocations_Probation","Condition_MH_SA","Condition_Cog_Ed","Condition_Other","Violations_ElectronicMonitoring","Violations_Instruction","Violations_FailToReport","Violations_MoveWithoutPermission","Delinquency_Reports","Program_Attendances","Program_UnexcusedAbsences","Residence_Changes","Avg_Days_per_DrugTest","DrugTests_THC_Positive","DrugTests_Cocaine_Positive","DrugTests_Meth_Positive","DrugTests_Other_Positive","Percent_Days_Employed","Jobs_Per_Year","Employment_Exempt","Recidivism_Within_3years","Recidivism_Arrest_Year1","Recidivism_Arrest_Year2","Recidivism_Arrest_Year3","Training_Sample"
1,"M","BLACK","43-47",16,0,3,"Standard","At least some college",3,"Drug","More than 3 years",6,6,1,3,3,4,0,0,3,3,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,2,612,0,0,0,0,0.488562092,0.447610294,0,0,0,0,0,1
2,"M","BLACK","33-37",16,0,6,"Specialized","Less than HS diploma",1,"Violent/Non-Sex","More than 3 years",7,6,3,0,3,5,1,0,3,4,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,4,0,0,2,35.66666667,0,0,0,0,0.425233645,2,0,1,0,0,1,1
3,"M","BLACK","48 or older",24,0,7,"High","At least some college",3,"Drug","1-2 years",6,6,3,2,2,5,1,0,3,2,1,1,2,0,1,0,0,0,1,1,0,0,1,0,1,4,6,0,0,93.66666667,0.333333343,0,0.166666672,0,0,0,0,1,0,1,0,1
4,"M","WHITE","38-42",16,0,7,"High","Less than HS diploma",1,"Property","1-2 years",8,6,0,3,3,3,0,0,3,4,0,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,3,25.4,0,0,0,0,1,0.718996063,0,0,0,0,0,1
6,"M","WHITE","38-42",17,0,5,"Standard","High School Diploma",0,"Property","More than 3 years",4,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,474.6,0,0,0,0,0.674252002,0.30783818,0,0,0,0,0,0
7,"M","BLACK","48 or older",18,0,2,"Standard","Less than HS diploma",2,NA,"Less than 1 year",10,6,1,5,1,5,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,238.5,0,0,0,0,0,0,0,1,0,0,1,1
8,"M","BLACK","38-42",16,0,5,"High","High School Diploma",3,"Drug","Greater than 2 to 3 years",6,6,3,1,2,5,0,0,1,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.775,0,0,0,0,0.469446441,0.525161754,0,0,0,0,0,0
11,"M","WHITE","43-47",5,0,3,"Specialized","Less than HS diploma",1,"Violent/Non-Sex","1-2 years",3,6,2,1,1,3,1,0,0,3,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,9,2,2,42.8,0.300000012,0,0.300000012,0,1,3.413551402,1,1,0,1,0,1
13,"M","WHITE","48 or older",18,0,3,"Standard","Less than HS diploma",1,"Property","More than 3 years",8,4,0,5,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0.016055046,0.002293578,0,NA,0,0,0,0,0,1
15,"M","WHITE","33-37",5,0,7,"Standard","Less than HS diploma",1,"Violent/Non-Sex","Greater than 2 to 3 years",9,3,2,2,4,4,0,1,3,2,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,6,0,1,98.75,0,0,0,0,0,0,1,0,0,0,0,0
16,"M","BLACK","33-37",3,0,4,"Standard","Less than HS diploma",3,NA,"More than 3 years",4,6,0,0,3,4,0,1,2,4,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,74.5,0,0,0,0,0.338926174,0.61283557,0,0,0,0,0,0
18,"M","WHITE","43-47",24,0,1,"Standard","High School Diploma",3,"Property","Less than 1 year",10,6,0,5,0,5,1,1,3,2,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,0.452138493,0.74389002,0,1,0,1,0,1
19,"M","BLACK","48 or older",12,0,7,"High","At least some college",3,"Property","More than 3 years",10,4,0,5,0,5,0,0,3,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,43.66666667,0,0,0,0,0.918575064,0.464694656,0,0,0,0,0,1
20,"M","WHITE","48 or older",16,0,3,"Standard","Less than HS diploma",0,"Property","1-2 years",10,6,0,5,1,5,0,1,2,4,0,3,0,1,0,1,1,1,1,1,0,0,0,0,0,4,0,0,1,228,0,0,0,0,0.794736842,0.320394737,0,1,0,0,1,1
21,"M","BLACK","38-42",5,0,3,"Standard","High School Diploma",3,"Violent/Non-Sex","Less than 1 year",6,6,3,1,0,3,1,0,3,2,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,1
22,"M","BLACK","33-37",16,0,5,"Standard","Less than HS diploma",3,"Drug","1-2 years",10,6,0,1,5,5,0,0,2,4,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,6,0,0,22.85,0.050000001,0,0,0,1,3.196936543,0,0,0,0,0,1
23,"F","WHITE","48 or older",5,NA,4,NA,"High School Diploma",0,"Violent/Non-Sex","1-2 years",2,6,3,5,0,1,1,0,2,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,0,0,15.5,0,0,0.055555556,0,0,0,0,0,0,0,0,0
24,"F","WHITE","43-47",16,NA,5,"Standard","Less than HS diploma",0,"Other","1-2 years",10,6,3,5,1,5,1,0,3,3,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,0.99137931,1,0,0,0,0,0,1
27,"M","WHITE","48 or older",14,0,2,"Specialized","Less than HS diploma",0,"Drug","1-2 years",9,6,0,0,2,5,0,0,3,4,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,4,6,0,0,31,0,0,0,0,0.806451613,1,0,0,0,0,0,0
28,"M","WHITE","48 or older",23,0,3,"Standard","Less than HS diploma",0,"Other","1-2 years",10,6,3,5,1,5,0,0,3,4,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,3,1,43.14285714,0,0,0,0,0,0,0,1,0,1,0,0
29,"M","BLACK","43-47",6,0,6,"High","High School Diploma",0,"Property","Greater than 2 to 3 years",7,6,0,5,0,2,0,1,2,3,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,357.4,0,0,0,0,0.895355344,0.204392837,1,0,0,0,0,1
32,"F","WHITE","43-47",16,NA,9,"Specialized","Less than HS diploma",0,"Property","1-2 years",10,6,2,5,0,4,0,0,3,4,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,10,0,1,NA,NA,NA,NA,NA,1,0.706479691,1,0,0,0,0,1
33,"M","WHITE","43-47",25,1,8,"Standard","High School Diploma",1,"Drug","1-2 years",10,2,3,4,2,5,0,1,3,3,1,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,6,2,0,101,0,0,0,0,0,0,0,1,0,1,0,1
36,"M","BLACK","48 or older",10,0,2,"Standard","Less than HS diploma",0,"Drug","Less than 1 year",10,6,1,5,4,4,0,0,3,4,0,3,1,1,0,0,0,0,1,0,0,0,1,0,1,4,1,1,2,27.72727273,0,0.227272734,0,0,0.654098361,0.598770492,1,0,0,0,0,1
37,"M","WHITE","43-47",14,0,3,NA,"High School Diploma",2,"Drug","Less than 1 year",10,6,3,1,5,5,0,0,3,4,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1
38,"M","BLACK","33-37",3,1,6,"High","Less than HS diploma",0,"Property","Greater than 2 to 3 years",10,6,0,5,0,5,0,0,2,4,0,3,0,1,0,0,0,0,1,1,0,0,1,0,1,3,0,0,1,71.06666667,0.06666667,0,0,0,0,0,0,1,0,0,1,1
39,"M","BLACK","33-37",12,0,3,"Standard","High School Diploma",3,"Violent/Non-Sex","Less than 1 year",8,6,2,2,1,5,0,0,3,4,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,13.16666667,0,0,0,0,1,1,0,1,0,0,1,1
40,"F","BLACK","38-42",2,NA,2,"Standard","At least some college",1,"Property","1-2 years",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.981412639,1,0,0,0,0,0,1
42,"M","BLACK","48 or older",3,0,3,"Specialized","High School Diploma",3,"Violent/Non-Sex","1-2 years",9,4,3,0,0,4,0,1,2,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,136.5,0,0,0,0,0.886446886,2,0,0,0,0,0,1
45,"M","BLACK","43-47",21,1,5,NA,"High School Diploma",0,"Drug","1-2 years",8,6,3,2,2,5,0,1,3,2,1,1,2,1,0,1,0,0,1,1,1,0,0,0,0,4,0,0,2,56.33333333,0,0,0,0,1,2,0,1,0,1,0,0
46,"M","BLACK","38-42",24,0,4,"Specialized","Less than HS diploma",3,"Violent/Non-Sex","Greater than 2 to 3 years",5,4,1,1,0,3,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,25.77272727,0,0,0,0,0.50617284,1.288359788,0,1,0,0,1,0
