l.00,l.01,l.02,l.03,l.04,l.05,l.06,l.07,l.08,l.09,l.10,l.11,l.12,l.13,l.14,l.15,l.16,l.17,l.18,l.19,l.20,l.21,l.22,l.23,l.24,l.25,l.26,l.27,l.28,l.29,l.30,l.31,l.32,l.33,l.34,l.35,l.36,l.37,l.38,l.39,l.40,l.41,l.42,l.43,l.44,l.45,l.46,l.47,l.48,l.49,l.50,l.51,l.52,l.53,l.54,l.55,l.56,l.57,l.58,l.59,l.60,l.61,l.62,l.63,l.64,l.65,l.66,l.67,l.68,l.69,l.70,l.71,l.72,l.73,l.74,l.75,l.76,l.77,l.78,l.79,l.80,l.81,l.82,l.83,l.84,l.85,l.86,l.87,l.88,l.89,l.90,l.91,l.92,l.93,l.94,l.95,l.96,l.97,l.98,l.99
-0.862086488,-0.838228248,-0.836717138,-0.842342958,-0.84986914,-0.857811393,-0.865579665,-0.873000265,-0.879996991,-0.886574935,-0.892764494,-0.898573973,-0.904016436,-0.909124615,-0.913938614,-0.918503293,-0.922732441,-0.926739805,-0.930604257,-0.934135468,-0.937576213,-0.940779322,-0.943872617,-0.946764317,-0.949585043,-0.952183512,-0.954781981,-0.957126785,-0.959451221,-0.961678165,-0.963748357,-0.965818548,-0.967749736,-0.969585671,-0.971421606,-0.973143627,-0.974765146,-0.976386665,-0.977974911,-0.979401412,-0.980827913,-0.982254414,-0.983595883,-0.984846076,-0.98609627,-0.987346463,-0.988527818,-0.989619532,-0.990711246,-0.991802961,-0.992894675,-0.993845876,-0.994795913,-0.99574595,-0.996695987,-0.997631402,-0.998455437,-0.999279471,-1.000103505,-1.00092754,-1.001751574,-1.002490309,-1.00320283,-1.003915351,-1.004627872,-1.005340393,-1.006052914,-1.006677801,-1.007292087,-1.007906373,-1.008520658,-1.009134944,-1.00974923,-1.010319486,-1.01083519,-1.011350894,-1.011866599,-1.012382303,-1.012898008,-1.013413712,-1.013906489,-1.014360689,-1.014814889,-1.015269088,-1.015723288,-1.016177488,-1.016631687,-1.017085887,-1.017500058,-1.017888551,-1.018277045,-1.018665538,-1.019054031,-1.019442525,-1.019831018,-1.020219512,-1.020602951,-1.020934475,-1.021265999,-1.021597524
0.045589759,0.023649402,0.016980317,0.013336383,0.010973214,0.009274615,0.007988045,0.006978462,0.006171159,0.005504614,0.004946604,0.004477797,0.004078617,0.003734444,0.003433362,0.003165842,0.002938471,0.002734463,0.002545393,0.002387356,0.002236794,0.002105865,0.001983011,0.00187498,0.001771607,0.001682819,0.00159403,0.001520135,0.001447436,0.001379871,0.001320559,0.001261247,0.001208513,0.001160287,0.001112061,0.00106869,0.001029602,0.000990515,0.000952707,0.000921119,0.000889532,0.000857945,0.000829314,0.000803858,0.000778401,0.000752944,0.000729656,0.000709191,0.000688726,0.00066826,0.000647795,0.000631347,0.000614931,0.000598516,0.0005821,0.000566065,0.000552923,0.000539782,0.000526641,0.0005135,0.000500359,0.000489237,0.000478735,0.000468233,0.000457732,0.00044723,0.000436728,0.000428119,0.000419739,0.000411359,0.000402979,0.000394599,0.000386219,0.000377842,0.000369469,0.000361095,0.000352721,0.000344348,0.000335974,0.0003276,0.000320441,0.000315325,0.000310208,0.000305092,0.000299976,0.00029486,0.000289743,0.000284627,0.00028015,0.000276083,0.000272016,0.000267949,0.000263882,0.000259815,0.000255748,0.000251681,0.000247688,0.000244456,0.000241223,0.000237991
0.222346591,0.136153735,0.094626286,0.072464314,0.058626569,0.049299089,0.042550444,0.037455052,0.033506885,0.030333041,0.027721707,0.025548219,0.023711877,0.022135351,0.020758395,0.019534698,0.018491088,0.017550559,0.016675886,0.015936411,0.015229224,0.014606853,0.014019228,0.013495391,0.012991614,0.012550656,0.012109698,0.011733266,0.011362014,0.011013246,0.010700627,0.010388008,0.01010466,0.009841371,0.009578082,0.009336851,0.00911508,0.008893309,0.008677503,0.00849069,0.008303877,0.008117064,0.007944452,0.007787085,0.007629718,0.00747235,0.007325761,0.007193207,0.007060652,0.006928098,0.006795543,0.006683733,0.006572094,0.006460455,0.006348816,0.006239224,0.006145221,0.006051217,0.005957214,0.00586321,0.005769207,0.005686579,0.005607447,0.005528316,0.005449184,0.005370052,0.00529092,0.005222977,0.005156387,0.005089797,0.005023207,0.004956618,0.004890028,0.004829525,0.004776565,0.004723605,0.004670645,0.004617685,0.004564725,0.004511765,0.004460871,0.004413452,0.004366034,0.004318615,0.004271197,0.004223779,0.00417636,0.004128942,0.004086135,0.004046287,0.004006439,0.003966591,0.003926744,0.003886896,0.003847048,0.0038072,0.003767918,0.003734451,0.003700984,0.003667518
-0.092428786,-0.067092728,-0.057504229,-0.051236562,-0.046464716,-0.042650243,-0.039477028,-0.036781373,-0.034466877,-0.032445135,-0.030654699,-0.029059836,-0.027632264,-0.026343899,-0.025169572,-0.024087125,-0.02312012,-0.022224136,-0.021373717,-0.020623118,-0.019897985,-0.019239744,-0.018610673,-0.018035154,-0.017477497,-0.016975773,-0.01647405,-0.016033028,-0.01559688,-0.015182991,-0.014804891,-0.014426791,-0.014079069,-0.013752162,-0.013425256,-0.01312225,-0.01284033,-0.01255841,-0.012283211,-0.012040685,-0.011798158,-0.011555632,-0.011329687,-0.011121541,-0.010913396,-0.01070525,-0.010510096,-0.010331858,-0.010153621,-0.009975384,-0.009797146,-0.009644634,-0.009492334,-0.009340034,-0.009187735,-0.009038038,-0.008908166,-0.008778294,-0.008648422,-0.00851855,-0.008388678,-0.008273598,-0.008163064,-0.00805253,-0.007941996,-0.007831462,-0.007720928,-0.007625229,-0.007531324,-0.00743742,-0.007343515,-0.007249611,-0.007155706,-0.00707114,-0.006998144,-0.006925148,-0.006852152,-0.006779157,-0.006706161,-0.006633165,-0.006561911,-0.006493587,-0.006425264,-0.00635694,-0.006288617,-0.006220293,-0.00615197,-0.006083646,-0.006021787,-0.005964074,-0.005906361,-0.005848648,-0.005790934,-0.005733221,-0.005675508,-0.005617795,-0.005560883,-0.0055122,-0.005463516,-0.005414832
-0.092630928,-0.003565244,0.014819345,0.01932832,0.019855775,0.019193926,0.018155285,0.01704181,0.015972036,0.014981877,0.014080103,0.013265141,0.012530236,0.011866143,0.011262131,0.010707481,0.010215927,0.009763506,0.009336191,0.008963854,0.008605446,0.008283629,0.007977583,0.007700491,0.007432911,0.007195119,0.006957326,0.006751295,0.006547815,0.00635576,0.006182076,0.006008391,0.00584999,0.005702061,0.005554132,0.005417985,0.005292232,0.005166479,0.005043973,0.004937249,0.004830526,0.004723802,0.004624932,0.004534493,0.004444053,0.004353613,0.00426921,0.00419267,0.00411613,0.004039589,0.003963049,0.003898251,0.003833551,0.00376885,0.00370415,0.003640617,0.003585984,0.003531351,0.003476717,0.003422084,0.00336745,0.003319354,0.003273267,0.00322718,0.003181093,0.003135005,0.003088918,0.003049294,0.003010452,0.002971609,0.002932767,0.002893924,0.002855082,0.002819432,0.002787736,0.002756041,0.002724345,0.00269265,0.002660954,0.002629259,0.002599085,0.00257147,0.002543855,0.00251624,0.002488626,0.002461011,0.002433396,0.002405782,0.002380845,0.002357626,0.002334408,0.002311189,0.002287971,0.002264752,0.002241533,0.002218315,0.002195425,0.002175918,0.00215641,0.002136903
-1.013922206,-0.241939383,-0.161357844,-0.124417173,-0.102779768,-0.08800493,-0.077184252,-0.06885864,-0.062266198,-0.056858539,-0.052315079,-0.048460427,-0.045152889,-0.042274102,-0.039729785,-0.037445484,-0.035472299,-0.033680894,-0.032005766,-0.030573982,-0.029201484,-0.027984717,-0.026832968,-0.025800579,-0.024806393,-0.023931841,-0.023057289,-0.022307591,-0.021567917,-0.020872359,-0.020247734,-0.019623109,-0.019056606,-0.018529933,-0.018003259,-0.017520808,-0.017077374,-0.01663394,-0.016202552,-0.015829723,-0.015456893,-0.015084064,-0.014740066,-0.014427015,-0.014113965,-0.013800914,-0.013509809,-0.01324728,-0.012984751,-0.012722222,-0.012459694,-0.012239439,-0.012019535,-0.011799632,-0.011579728,-0.01136399,-0.01117999,-0.010995989,-0.010811988,-0.010627988,-0.010443987,-0.010283083,-0.010129276,-0.00997547,-0.009821663,-0.009667857,-0.009514051,-0.009382864,-0.009254414,-0.009125964,-0.008997513,-0.008869063,-0.008740613,-0.008621527,-0.008514042,-0.008406557,-0.008299072,-0.008191588,-0.008084103,-0.007976618,-0.00787585,-0.007786384,-0.007696917,-0.007607451,-0.007517984,-0.007428518,-0.007339052,-0.007249585,-0.007169222,-0.007094698,-0.007020175,-0.006945651,-0.006871127,-0.006796603,-0.006722079,-0.006647556,-0.006574139,-0.006512095,-0.006450052,-0.006388008
-2.187989691,-0.693080953,-0.485803782,-0.386344787,-0.32476871,-0.282198655,-0.250462415,-0.225724274,-0.205933036,-0.189563794,-0.175727607,-0.163912679,-0.153703919,-0.144762936,-0.136816771,-0.129647349,-0.123412924,-0.117728399,-0.112395758,-0.107804072,-0.103394101,-0.099461451,-0.095729439,-0.092365754,-0.089120789,-0.086247598,-0.083374407,-0.080892063,-0.078441104,-0.076129314,-0.074041291,-0.071953268,-0.070050088,-0.068273574,-0.06649706,-0.064862382,-0.063352843,-0.061843303,-0.060372743,-0.059091672,-0.057810601,-0.05652953,-0.055342617,-0.054256776,-0.053170934,-0.052085092,-0.05107161,-0.050152351,-0.049233092,-0.048313833,-0.047394574,-0.046616084,-0.04583876,-0.045061436,-0.044284112,-0.043520801,-0.04286424,-0.042207678,-0.041551116,-0.040894555,-0.040237993,-0.039659917,-0.03910596,-0.038552004,-0.037998048,-0.037444092,-0.036890135,-0.036413843,-0.035946947,-0.03548005,-0.035013154,-0.034546258,-0.034079361,-0.033653531,-0.033278578,-0.032903626,-0.032528674,-0.032153722,-0.03177877,-0.031403818,-0.031044479,-0.030711411,-0.030378344,-0.030045276,-0.029712209,-0.029379141,-0.029046074,-0.028713006,-0.028412391,-0.028132592,-0.027852793,-0.027572994,-0.027293195,-0.027013396,-0.026733596,-0.026453797,-0.026177986,-0.025943138,-0.025708289,-0.02547344
0.185967182,0.000543304,-0.00433867,-0.003899055,-0.003490469,-0.002831876,-0.002281236,-0.001820284,-0.001432256,-0.001112695,-0.000827669,-0.000570773,-0.000351385,-0.000162296,2.6093E-06,0.000148415,0.000270921,0.000379589,0.000479398,0.000560485,0.000636994,0.000701478,0.000760963,0.000811271,0.000858681,0.000897014,0.000935348,0.000964431,0.000992771,0.001017956,0.001038067,0.001058178,0.001074328,0.001087765,0.001101202,0.001111812,0.001119928,0.001128044,0.001135451,0.001139409,0.001143368,0.001147327,0.001149756,0.001150543,0.001151331,0.001152118,0.001151886,0.001150326,0.001148766,0.001147206,0.001145646,0.001142429,0.001139199,0.001135968,0.001132738,0.001129377,0.001125023,0.00112067,0.001116316,0.001111962,0.001107609,0.001102728,0.001097686,0.001092643,0.001087601,0.001082558,0.001077516,0.001072159,0.001066764,0.001061369,0.001055975,0.00105058,0.001045185,0.001043279,0.001045695,0.001048112,0.001050528,0.001052944,0.001055361,0.001057777,0.001056939,0.001050627,0.001044314,0.001038002,0.001031689,0.001025376,0.001019064,0.001012751,0.001006677,0.001000756,0.000994834,0.000988913,0.000982992,0.00097707,0.000971149,0.000965227,0.000959346,0.000953876,0.000948405,0.000942935
0.168867851,0.001287095,-0.004034777,-0.004025761,-0.003560632,-0.002894651,-0.002324174,-0.001847142,-0.001448618,-0.001129572,-0.000845902,-0.000585592,-0.000363302,-0.000171836,-5.00158E-06,0.000142379,0.00026605,0.000375663,0.000476281,0.000557922,0.000634934,0.000699785,0.000759591,0.000810136,0.000857761,0.000896243,0.000934726,0.000963904,0.000992335,0.001017596,0.001037762,0.001057927,0.001074118,0.001087586,0.001101055,0.001111689,0.001119822,0.001127956,0.001135379,0.001139348,0.001143316,0.001147284,0.001149721,0.001150513,0.001151306,0.001152099,0.00115187,0.001150313,0.001148755,0.001147197,0.00114564,0.001142424,0.001139195,0.001135966,0.001132736,0.001129376,0.001125023,0.00112067,0.001116317,0.001111964,0.001107611,0.00110273,0.001097688,0.001092646,0.001087603,0.001082561,0.001077518,0.001072162,0.001066767,0.001061372,0.001055978,0.001050583,0.001045188,0.001043207,0.001045456,0.001047704,0.001049952,0.0010522,0.001054449,0.001056697,0.001055758,0.001049455,0.001043152,0.001036849,0.001030546,0.001024243,0.00101794,0.001011637,0.001005572,0.000999661,0.000993749,0.000987838,0.000981927,0.000976015,0.000970104,0.000964193,0.000958321,0.000952861,0.0009474,0.000941939
0.151222068,0.001619535,-0.003703352,-0.00405979,-0.00356271,-0.002923925,-0.002352456,-0.001868311,-0.001463236,-0.001140575,-0.000856078,-0.000594881,-0.000371392,-0.000178717,-1.07704E-05,0.0001376,0.000262068,0.000372356,0.000473569,0.000555644,0.000633054,0.000698207,0.000758281,0.00080903,0.000856842,0.000895459,0.000934076,0.000963344,0.000991861,0.001017196,0.001037415,0.001057634,0.001073867,0.001087368,0.001100869,0.001111529,0.001119682,0.001127835,0.001135277,0.001139256,0.001143236,0.001147216,0.001149662,0.001150461,0.00115126,0.001152059,0.001151836,0.001150282,0.001148728,0.001147174,0.00114562,0.001142406,0.001139178,0.001135951,0.001132724,0.001129366,0.001125014,0.001120661,0.001116309,0.001111957,0.001107605,0.001102725,0.001097683,0.001092642,0.0010876,0.001082558,0.001077516,0.00107216,0.001066765,0.001061371,0.001055976,0.001050582,0.001045188,0.001043132,0.001045213,0.001047294,0.001049375,0.001051456,0.001053538,0.001055619,0.001054578,0.001048284,0.001041991,0.001035698,0.001029404,0.001023111,0.001016817,0.001010524,0.001004469,0.000998568,0.000992667,0.000986765,0.000980864,0.000974963,0.000969061,0.00096316,0.000957298,0.000951847,0.000946396,0.000940945
