sentiment,time,tweet
Negative,Thu Jun 18 07:35:01 PDT 2009,I think my twitter is attackd by a kind of worm 
Positive,Sun May 10 00:31:52 PDT 2009,@ddlovato demi if you can i think itd be amazing if you covered thats what you get by paramore haha im sure you know it 
Positive,Sun May 31 09:15:19 PDT 2009,had so much fun yesterday hopes they play at the md agian  hhmmm what to do today?
Positive,Fri May 22 07:25:52 PDT 2009,@MlleNoir Si gentile. You are a big sweetie. 
Positive,Sun May 31 02:09:52 PDT 2009,A Peek at the Logo for The Smurfs Movie http://tinyurl.com/kksrz3 (via @CSSHH) let's hope it's with real actors 
Positive,Sun Jun 07 09:13:08 PDT 2009,Joined the Astrology Twibe  . Visit  http://is.gd/RJpB
Negative,Wed Jun 17 16:22:21 PDT 2009,facebook chat doesn't like me 
Negative,Mon Jun 01 06:12:08 PDT 2009,an interrogation at work and now the dentist...all of this AFTER a twelve hour shift  if i were a less man i would cry lol ~beau~
Positive,Tue May 26 22:51:44 PDT 2009,@nicolerichie http://twitpic.com/61g3n - i love your hair  Cute pic!
Positive,Sat May 30 00:14:53 PDT 2009,@JessDubb clear your phone for @MsStylistik's bday celebration weekend. I'm bringin the M to the A.  lets go to Magic City!
Positive,Thu May 14 01:06:29 PDT 2009,YES is more 
Negative,Tue Jun 02 08:08:11 PDT 2009,"@lisha_e That was my facebook stat the other day! Whats going on, Lish? "
Negative,Thu May 14 01:01:09 PDT 2009,Morning everyone. Another day in the office   &amp; horrible weather!
Negative,Sat Jun 06 17:02:36 PDT 2009,"I just got a bunch of money for graduation, but i cant spend any of it. It all goes toward paying for college. "
Negative,Tue Jun 16 18:08:12 PDT 2009,Sister come help me 
Positive,Fri May 22 03:35:31 PDT 2009,@martincanderson lol  so true    watching Lake House too then?
Negative,Mon Jun 01 02:00:37 PDT 2009,@ddlovato why dont you guyzz reply to me ! 
Positive,Sat Jun 06 15:42:27 PDT 2009,@eventingbrego: just discovered your blog (through COTH) and I love it  I am a (hopeful) eventer of a half-perch gelding.
Negative,Sun May 03 02:41:54 PDT 2009,"waaay no i hate sunday  i couldn`t sleep till 6 a.m , athanee he is snoring all night"
Positive,Sat May 30 06:22:45 PDT 2009,@dumok But I like soaking up the sun it makes me happy! 
Negative,Thu Jun 25 07:12:24 PDT 2009,"at work feeling a little down... @ohmygela nice! Imma visit your site again a little later... and oh, try to rest for a while... "
Negative,Mon Jun 15 15:07:56 PDT 2009,"wut is going on with all these shootings this month? My block last night, 3 in harlem, 1 in da bronx? it's gonna be a crazy summer "
Negative,Sun Jun 21 05:02:16 PDT 2009,"feeling better. Still not too great, though. Hate being sick "
